ts_code,name,industry,pe_ttm,pe_pct,rev_avg,profit_avg,deducted_avg,peg
603268.SH,松发股份,船舶,42.3993,27.1,94.79876666666667,382.9835333333333,919.8705333333332,0.11
603379.SH,三美股份,化工原料,16.9919,1.8,36.9281,169.2977,201.33333333333334,0.1
603530.SH,神马电力,电气设备,39.3527,14.5,32.74406666666667,119.17540000000001,157.15,0.33
603596.SH,伯特利,汽车配件,17.9361,2.1,29.595566666666667,23.830933333333334,25.52,0.75
603605.SH,珀莱雅,日用化工,16.4632,5.6,19.605133333333335,24.18626666666667,25.09333333333333,0.68
603629.SH,利通电子,元器件,65.8848,42.1,19.781833333333335,336.9383666666667,1264.4566666666667,0.2
603733.SH,仙鹤股份,造纸,15.6011,24.4,20.1206,34.44283333333333,20.563333333333333,0.45
603766.SH,隆鑫通用,摩托车,18.7368,36.1,15.927033333333334,49.93026666666666,51.79,0.38
603786.SH,科博达,汽车配件,21.7829,1.7,26.503933333333332,24.8017,23.13333333333333,0.88
603871.SH,嘉友国际,仓储物流,14.7457,40.9,21.8917,21.622866666666667,21.616666666666664,0.68
603885.SH,吉祥航空,空运,21.1519,11.0,52.17993333333334,49.77956666666666,46.562466666666666,0.42
603893.SH,瑞芯微,半导体,68.5663,19.4,30.819133333333337,120.39573333333334,128.94333333333336,0.57
603979.SH,金诚信,铜,18.3899,24.2,37.95336666666667,49.636599999999994,49.44,0.37
605016.SH,百龙创园,食品,22.612,2.5,24.220033333333333,35.1135,37.78333333333333,0.64
605056.SH,咸亨国际,电器仪表,20.8712,0.8,29.165233333333333,31.276966666666663,11.806666666666665,0.67
605098.SH,行动教育,文教休闲,21.0965,46.4,23.056366666666662,46.48593333333334,47.92333333333334,0.45
605116.SH,奥锐特,化学制药,20.1379,2.1,16.2668,23.929066666666667,30.97666666666667,0.84
605117.SH,德业股份,电气设备,28.5134,46.0,28.165133333333333,30.14356666666667,26.753333333333334,0.95
605128.SH,上海沿浦,汽车配件,35.9063,28.3,30.518633333333337,62.186699999999995,89.00666666666666,0.58
605305.SH,中际联合,工程机械,14.7915,1.8,33.46416666666667,51.332166666666666,58.97333333333333,0.29
605319.SH,无锡振华,汽车配件,16.9018,18.9,16.4829,43.544933333333326,110.19666666666666,0.39
605333.SH,沪光股份,汽车配件,19.366,10.7,42.36750000000001,381.0354666666667,514.4233333333333,0.05
605499.SH,东鹏饮料,软饮料,20.3324,2.4,34.949099999999994,45.8045,47.01,0.44
605599.SH,菜百股份,服饰,10.8731,4.6,28.970433333333332,20.348499999999998,19.32,0.53
688002.SH,睿创微纳,通信设备,45.7262,41.8,33.94846666666667,56.87819999999999,66.26,0.8
